"State","County","NUM_LICENSED_BEDS","Population with public coverage","Percent of pop w/no health insurance","margin of error","PopEstimate2018","Heart Disease Mortality","adjusted_beds","inquiry1","inquiry2"
"IA","Audubon",25,2368,5.4,1.6,5506,300.9,454.050127134036,0.66270216,55.7222222222222
"IA","Benton",25,8405,2.7,0.7,25642,298.3,97.4962951407847,3.05960344,110.481481481481
"IA","Black Hawk",675,45983,5.6,0.7,132408,319.5,509.78792822186,0.6267312,57.0535714285714
"IA","Boone",42,9086,3.1,0.7,26346,338.1,159.416989296288,2.120853,109.064516129032
"IA","Bremer",50,7193,3.2,0.7,24947,316.1,200.424900789674,1.57714934,98.78125
"IA","Buchanan",120,6845,5.2,1.3,21199,315.1,566.064437001745,0.556650408333333,60.5961538461538
"IA","Buena Vista",35,6819,9.7,2.1,19874,331.2,176.10948978565,1.88064822857143,34.1443298969072
"IA","Butler",NA,5171,3.2,0.8,14539,343.7,NA,NA,107.40625
"IA","Calhoun",25,3649,3.3,0.9,9699,354.2,257.758531807403,1.37415432,107.333333333333
"IA","Carroll",116,6597,2.5,0.8,20154,297.2,575.568125434157,0.516359379310345,118.88
"IA","Cass",33,5493,4.8,0.9,12930,365.8,255.220417633411,1.43327090909091,76.2083333333333
"IA","Cedar",NA,5629,2.2,0.7,18627,283.7,NA,NA,128.954545454545
"IA","Cerro Gordo",346,16506,5.6,1,42647,357.4,811.311463877881,0.440521323699422,63.8214285714286
"IA","Cherokee",83,4308,4.3,1.6,11321,307.3,733.150781733062,0.419149795180723,71.4651162790698
"IA","Chickasaw",18,3914,4.9,1.7,11964,389.3,150.451354062187,2.58754733333333,79.4489795918367
"IA","Clarke",25,3933,5.9,2.1,9423,387.9,265.308288230924,1.46207268,65.7457627118644
"IA","Clay",99,5953,3.7,1.2,16134,290.2,613.611007809595,0.472938060606061,78.4324324324324
"IA","Clayton",50,7105,6.2,2,17556,291,284.802916381864,1.0217592,46.9354838709677
"IA","Clinton",265,18583,4.1,0.6,46518,377.5,569.671954942173,0.662662075471698,92.0731707317073
"IA","Crawford",25,6204,8.1,1.6,17158,286.7,145.704627578972,1.96767944,35.3950617283951
"IA","Dallas",25,18891,3,0.5,90180,249.5,27.7223331115547,8.999964,83.1666666666667
"IA","Davis",25,2818,26,5.3,9017,375.5,277.254075634912,1.3543534,14.4423076923077
"IA","Decatur",25,3488,9.4,2.4,7890,408.7,316.856780735108,1.2898572,43.4787234042553
"IA","Delaware",25,5110,2.9,1,17069,298.7,146.46435057707,2.03940412,103
"IA","Des Moines",213,16208,5.3,0.9,39138,345,544.228115897593,0.633925352112676,65.0943396226415
"IA","Dickinson",49,6573,4.2,1,17153,309.4,285.664315280126,1.08308942857143,73.6666666666667
"IA","Dubuque",470,30096,3.8,0.5,96854,297.8,485.266483573213,0.613683429787234,78.3684210526316
"IA","Emmet",25,3382,7.1,1.9,9253,309.2,270.182643466984,1.14441104,43.5492957746479
"IA","Fayette",50,8255,5.5,1.3,19660,342.2,254.323499491353,1.3455304,62.2181818181818
"IA","Floyd",25,6563,8.9,2.3,15761,324,158.619376943087,2.0426256,36.4044943820225
"IA","Franklin",25,3817,4.2,1,10124,338.9,246.937969182141,1.37240944,80.6904761904762
"IA","Fremont",25,2959,5,1.3,6993,287.3,357.500357500357,0.80363556,57.46
"IA","Greene",25,3487,3.6,0.9,8981,379.9,278.3654381472,1.36475276,105.527777777778
"IA","Grundy",80,3870,2.3,0.7,12304,340.8,650.195058517555,0.5241504,148.173913043478
"IA","Guthrie",25,3948,3.9,0.9,10720,276.1,233.208955223881,1.1839168,70.7948717948718
"IA","Hamilton",25,5328,4.2,1,14952,290.6,167.201712145532,1.73802048,69.1904761904762
"IA","Hancock",25,3628,3.3,0.9,10712,340.8,233.383121732636,1.46025984,103.272727272727
"IA","Hardin",35,5651,3.9,0.8,16868,330.9,207.493478776381,1.59474891428571,84.8461538461538
"IA","Harrison",25,4926,5.1,1.2,14134,309.5,176.878449129758,1.7497892,60.6862745098039
"IA","Henry",74,7298,4.1,1,20067,348.4,368.764638461155,0.944776054054054,84.9756097560976
"IA","Howard",19,3277,4.1,1.1,9187,441.3,206.813976270817,2.13380163157895,107.634146341463
"IA","Humboldt",49,3698,4.1,1,9547,385.6,513.250235676129,0.751290448979592,94.0487804878049
"IA","Ida",25,2488,3.5,0.9,6841,322.3,365.443648589388,0.88194172,92.0857142857143
"IA","Iowa",25,5142,5.6,1.3,16141,290.2,154.885075274147,1.87364728,51.8214285714286
"IA","Jackson",25,7477,4.5,0.9,19432,338.8,128.653766982297,2.63342464,75.2888888888889
"IA","Jasper",68,13971,3.6,0.7,37147,292.4,183.056505235954,1.597321,81.2222222222222
"IA","Jefferson",25,7483,4.6,1.2,18381,360.5,136.010010336761,2.6505402,78.3695652173913
"IA","Johnson",1476,32753,5.5,0.7,151260,288.8,975.803252677509,0.295961300813008,52.5090909090909
"IA","Jones",22,7495,3.8,0.9,20744,293.7,106.054762822985,2.769324,77.2894736842105
"IA","Keokuk",25,4247,3.8,0.9,10225,344.5,244.498777506112,1.409005,90.6578947368421
"IA","Kossuth",25,5811,5.3,1.2,14908,346.7,167.695197209552,2.06744144,65.4150943396226
"IA","Lee",121,14438,4.6,0.9,34055,360,355.307590662164,1.01320661157025,78.2608695652174
"IA","Linn",994,70317,3.8,0.5,225909,287.9,440.000177062445,0.654317918511066,75.7631578947368
"IA","Louisa",NA,4097,4.7,1.3,11169,310.8,NA,NA,66.1276595744681
"IA","Lucas",25,3881,4.2,1.7,8645,382.2,289.184499710815,1.3216476,91
"IA","Lyon",25,3426,4.5,1.3,11811,285.4,211.667090000847,1.34834376,63.4222222222222
"IA","Madison",25,4347,3.4,1,16249,299.8,153.855621884424,1.94858008,88.1764705882353
"IA","Mahaska",33,8367,4.2,0.9,22000,372.2,150,2.48133333333333,88.6190476190476
"IA","Marion",50,10861,3.5,1.1,33407,362.2,149.669230999491,2.42000308,103.485714285714
"IA","Marshall",125,14755,6.5,1.1,39981,392.8,312.64850804132,1.256362944,60.4307692307692
"IA","Mills",NA,5152,4.6,1.1,15063,253,NA,NA,55
"IA","Mitchell",25,3841,7.6,1.7,10569,397.5,236.540826946731,1.680471,52.3026315789474
"IA","Monona",25,3610,5.9,1.7,8679,454.7,288.051618850098,1.57853652,77.0677966101695
"IA","Monroe",25,2670,7.5,3.3,7790,384.2,320.924261874198,1.1971672,51.2266666666667
"IA","Montgomery",25,4636,3.7,1.2,10003,375.1,249.925022493252,1.50085012,101.378378378378
"IA","Muscatine",48,14308,3.8,0.8,42929,311.6,111.812527661953,2.78680758333333,82
"IA","O'Brien",39,5341,4.6,1.5,13840,339.7,281.791907514451,1.20549948717949,73.8478260869565
"IA","Osceola",25,2349,5.4,1.3,6040,292.3,413.907284768212,0.7061968,54.1296296296296
"IA","Page",50,5994,4.9,1.2,15249,375.6,327.890353465801,1.14550488,76.6530612244898
"IA","Palo Alto",47,3133,5,1.5,8929,304.2,526.374734012767,0.577915276595745,60.84
"IA","Plymouth",25,7951,4.3,0.9,25095,238.7,99.6214385335724,2.3960706,55.5116279069767
"IA","Pocahontas",25,2754,4.7,1,6740,413.8,370.919881305638,1.1156048,88.0425531914894
"IA","Polk",1671,150480,5.1,0.4,487204,314.6,342.977479659444,0.917261390783962,61.6862745098039
"IA","Pottawattamie",514,34953,6.3,0.6,93533,306.6,549.538665497739,0.557922525291829,48.6666666666667
"IA","Poweshiek",49,6179,6,1.2,18699,306.5,262.046098721857,1.16964153061224,51.0833333333333
"IA","Ringgold",16,1918,5.8,2.2,4968,408,322.061191626409,1.26684,70.3448275862069
"IA","Sac",25,3629,5,1,9719,321.9,257.228109887849,1.25141844,64.38
"IA","Scott",691,58264,4.9,0.6,173283,299.5,398.769642723175,0.75106018089725,61.1224489795918
"IA","Shelby",25,4344,5.1,1.6,11578,296.5,215.926757643807,1.3731508,58.1372549019608
"IA","Sioux",96,9224,4.2,1,34909,214.6,275.000716147698,0.780361604166667,51.0952380952381
"IA","Story",237,19786,4.6,0.7,98105,258.1,241.577901228276,1.06839242616034,56.1086956521739
"IA","Tama",NA,6269,5.8,1.1,16904,326.9,NA,NA,56.3620689655172
"IA","Taylor",NA,2326,7.1,1.6,6191,390.8,NA,NA,55.0422535211268
"IA","Union",25,5082,6.7,1.5,12359,401.5,202.281738004693,1.9848554,59.9253731343284
"IA","Van Buren",25,3117,12.5,3.6,7020,376.2,356.125356125356,1.0563696,30.096
"IA","Wapello",217,14414,6,1.2,35205,373.4,616.389717369692,0.605785576036866,62.2333333333333
"IA","Warren",NA,13658,2.9,0.6,51056,355.9,NA,NA,122.724137931034
"IA","Washington",25,7850,8.5,1.9,22141,305.1,112.912695903527,2.70208764,35.8941176470588
"IA","Wayne",25,2780,12.3,2.9,6401,383,390.563974379003,0.9806332,31.1382113821138
"IA","Webster",200,14104,5.1,0.9,36277,422.7,551.313504424291,0.766714395,82.8823529411765
"IA","Winnebago",NA,3778,2.7,1,10518,341.9,NA,NA,126.62962962963
"IA","Winneshiek",25,5837,1.8,0.6,20029,309.3,124.819012431974,2.47798788,171.833333333333
"IA","Woodbury",830,38675,6.9,0.7,102539,286.7,809.448112425516,0.354191943373494,41.5507246376812
"IA","Worth",NA,2682,4.9,1.1,7453,290.8,NA,NA,59.3469387755102
"IA","Wright",47,5186,5.4,1.2,12690,351.3,370.37037037037,0.94851,65.0555555555556
"ID","Ada",1351,110896,8.3,0.5,469966,288.3,287.467604039441,1.00289561658031,34.7349397590361
"ID","Adams",NA,1734,16.6,4.2,4250,241,NA,NA,14.5180722891566
"ID","Bannock",205,28164,8.9,0.9,87138,391.2,235.25901443687,1.66284807804878,43.9550561797753
"ID","Bear Lake",21,1940,6.3,1.6,6050,282.6,347.107438016529,0.814157142857143,44.8571428571429
"ID","Benewah",19,3799,12.7,1.8,9226,321.5,205.939735530024,1.56113631578947,25.3149606299213
"ID","Bingham",153,15114,11,1.4,46236,364,330.910978458344,1.0999937254902,33.0909090909091
"ID","Blaine",25,6308,14.1,2.4,22601,157.4,110.614574576346,1.42295896,11.1631205673759
"ID","Boise",NA,2952,10.1,2.5,7634,239.1,NA,NA,23.6732673267327
"ID","Bonner",25,17737,11.6,1.3,44727,257.2,55.8946497641246,4.60151376,22.1724137931034
"ID","Bonneville",420,34762,8.7,0.8,116854,361.8,359.422869563729,1.00661374285714,41.5862068965517
"ID","Boundary",20,4271,19.2,3.8,11948,281.6,167.39203213927,1.6822784,14.6666666666667
"ID","Butte",14,924,12.4,3.4,2611,295.9,536.193029490617,0.5518535,23.8629032258064
"ID","Camas",NA,393,12.9,4.8,1127,189.7,NA,NA,14.7054263565891
"ID","Canyon",343,80356,14.7,0.8,223499,349.8,153.468248180081,2.27929883965015,23.7959183673469
"ID","Caribou",25,1990,7.8,2.4,7060,346.1,354.107648725212,0.9773864,44.3717948717949
"ID","Cassia",25,8011,15.7,2.1,23864,316.7,104.760308414348,3.02309152,20.171974522293
"ID","Clark",NA,401,27.4,8.6,852,300.6,NA,NA,10.970802919708
"ID","Clearwater",83,3517,11.1,2.2,8758,286.2,947.704955469285,0.301992722891566,25.7837837837838
"ID","Custer",NA,1928,11.8,2.8,4280,225.6,NA,NA,19.1186440677966
"ID","Elmore",25,8628,11.8,2.2,27259,324.4,91.7128287904912,3.53712784,27.4915254237288
"ID","Franklin",20,3600,10.4,2,13726,283.1,145.708873670407,1.9429153,27.2211538461538
"ID","Fremont",NA,4634,10.7,2.5,13168,333.5,NA,NA,31.1682242990654
"ID","Gem",16,7197,17,3.1,17634,337,90.7338096858342,3.71416125,19.8235294117647
"ID","Gooding",18,5639,16.6,2.7,15196,322.5,118.452224269545,2.72261666666667,19.4277108433735
"ID","Idaho",41,7012,10.9,1.7,16513,261.4,248.289226669896,1.05280443902439,23.9816513761468
"ID","Jefferson",NA,8424,9.6,1.9,29439,355.1,NA,NA,36.9895833333333
"ID","Jerome",25,8092,19.7,2.3,24015,306.9,104.101603164689,2.9480814,15.5786802030457
"ID","Kootenai",434,50896,10.3,0.8,161505,306,268.722330578001,1.13872188940092,29.7087378640777
"ID","Latah",25,9358,6.9,1.3,40134,256.4,62.2913240643843,4.11614304,37.1594202898551
"ID","Lemhi",18,3541,12.5,3.2,7961,243.9,226.102248461249,1.0787155,19.512
"ID","Lewis",NA,1643,14.5,2.1,3861,283.3,NA,NA,19.5379310344828
"ID","Lincoln",NA,1909,22.2,2.7,5360,319,NA,NA,14.3693693693694
"ID","Madison",69,9582,7.2,1.2,39304,402,175.554650926114,2.2898852173913,55.8333333333333
"ID","Minidoka",25,7265,19.6,2.4,20825,282.2,120.048019207683,2.350726,14.3979591836735
"ID","Nez Perce",145,14747,10.3,1.3,40408,303.9,358.839833696298,0.846895944827586,29.504854368932
"ID","Oneida",11,1484,7.4,3,4488,345.3,245.098039215686,1.408824,46.6621621621622
"ID","Owyhee",NA,4067,23.9,3.1,11693,314.4,NA,NA,13.1548117154812
"ID","Payette",NA,8845,12.9,1.9,23551,354.4,NA,NA,27.4728682170543
"ID","Power",10,2844,15.3,4.6,7768,274.3,128.733264675592,2.1307624,17.9281045751634
"ID","Shoshone",25,5283,16.6,2.8,12796,344.6,195.373554235699,1.76380064,20.7590361445783
"ID","Teton",13,2381,9.4,2.3,11640,258.1,111.683848797251,2.31098769230769,27.4574468085106
"ID","Twin Falls",224,26140,11.7,1.2,86081,311.4,260.220025324985,1.19667961607143,26.6153846153846
"ID","Valley",25,4010,14.7,4.7,11041,173.4,226.42876551037,0.76580376,11.7959183673469
"ID","Washington",25,4144,15.1,2.6,10161,340.1,246.038775711052,1.38230244,22.523178807947
"IL","Adams",307,25786,4.7,0.8,65691,346,467.339513784232,0.740361107491857,73.6170212765957
"IL","Alexander",NA,4141,6.8,2,6060,451.4,NA,NA,66.3823529411765
"IL","Bond",42,5639,6.1,1.5,16630,376.7,252.555622369212,1.49155261904762,61.7540983606557
"IL","Boone",NA,17404,6.3,1,53577,308.1,NA,NA,48.9047619047619
"IL","Brown",NA,1744,5.9,2.2,6556,353.3,NA,NA,59.8813559322034
"IL","Bureau",94,13114,4.9,0.8,32993,360.3,284.908920073955,1.26461467021277,73.530612244898
"IL","Calhoun",NA,2112,2.9,1,4802,315.1,NA,NA,108.655172413793
"IL","Carroll",NA,5939,6.1,1.2,14312,372,NA,NA,60.9836065573771
"IL","Cass",NA,4945,7.1,1.5,12260,395,NA,NA,55.6338028169014
"IL","Champaign",680,53628,4.8,0.4,209983,261.9,323.83573908364,0.808743348529412,54.5625
"IL","Christian",47,12874,4.9,1,32661,323.2,143.902513701356,2.24596493617021,65.9591836734694
"IL","Clark",NA,6675,5.5,1.3,15596,381,NA,NA,69.2727272727273
"IL","Clay",20,6110,7.9,1.7,13253,392.8,150.909228099298,2.6028892,49.7215189873418
"IL","Clinton",70,11262,4.8,1.2,37639,376.7,185.977310768086,2.0255159,78.4791666666667
"IL","Coles",149,20434,6.3,1.1,50885,334.5,292.817136680751,1.14235117449664,53.0952380952381
"IL","Cook",19229,1799218,9.5,0.2,5180493,326,371.180889540822,0.878277974933694,34.3157894736842
"IL","Crawford",63,6868,6.3,1.5,18807,367.1,334.98165576647,1.0958809047619,58.2698412698413
"IL","Cumberland",NA,4430,4.7,1.1,10808,324.9,NA,NA,69.1276595744681
"IL","De Witt",25,6027,4.8,1,15769,328.3,158.538905447397,2.07078508,68.3958333333333
"IL","DeKalb",192,30740,5.9,0.6,104143,291,184.361887020731,1.57841734375,49.3220338983051
"IL","Douglas",NA,6901,14.5,2,19479,308.9,NA,NA,21.3034482758621
"IL","DuPage",1928,223407,5.9,0.3,928589,245.4,207.626840292099,1.18192811514523,41.5932203389831
"IL","Edgar",25,7213,5.5,1.3,17360,379,144.009216589862,2.631776,68.9090909090909
"IL","Edwards",NA,2511,5.6,1.4,6392,357.6,NA,NA,63.8571428571429
"IL","Effingham",133,12257,5.4,1.1,34208,314.5,388.797942001871,0.808903458646617,58.2407407407407
"IL","Fayette",110,9693,8.1,1.2,21416,323.5,513.634665670527,0.629825090909091,39.9382716049383
"IL","Ford",41,5496,6.3,1.6,13264,373.8,309.107358262967,1.20928858536585,59.3333333333333
"IL","Franklin",16,19750,6.5,0.9,38701,341.4,41.3426009663833,8.257825875,52.5230769230769
"IL","Fulton",87,14362,6.1,1,34844,353.3,249.684307197796,1.4149868045977,57.9180327868852
"IL","Gallatin",NA,2857,3.6,1.5,5058,427.5,NA,NA,118.75
"IL","Greene",25,6106,6.4,1.6,13044,380.4,191.659000306654,1.98477504,59.4375
"IL","Grundy",89,14358,4.2,0.9,50972,315.1,174.605665855764,1.80463788764045,75.0238095238095
"IL","Hamilton",25,3175,6.2,3.1,8163,374.2,306.259953448487,1.22183784,60.3548387096774
"IL","Hancock",18,7778,3,0.7,17844,322.2,100.874243443174,3.194076,107.4
"IL","Hardin",25,1903,8.6,3.1,3910,472,639.386189258312,0.738208,54.8837209302326
"IL","Henderson",NA,2660,6.7,1.8,6709,349.5,NA,NA,52.1641791044776
"IL","Henry",86,17909,4.4,0.8,49090,366.3,175.18842941536,2.09089151162791,83.25
"IL","Iroquois",25,11865,6,1.1,27604,397.8,90.5665845529633,4.39234848,66.3
"IL","Jackson",179,21664,7.4,1.1,57419,331.2,311.74349953848,1.06241188826816,44.7567567567568
"IL","Jasper",NA,3778,7.3,2,9611,347.7,NA,NA,47.6301369863014
"IL","Jefferson",181,16327,5.7,0.6,37820,397.3,478.582760444209,0.830159447513812,69.7017543859649
"IL","Jersey",65,6953,5.3,1.4,21847,389,297.52368746281,1.30745892307692,73.3962264150943
"IL","Jo Daviess",25,8355,4.7,1.1,21366,283.7,117.008330993167,2.42461368,60.3617021276596
"IL","Johnson",NA,4566,3.6,1,12456,317.3,NA,NA,88.1388888888889
"IL","Kane",1483,156304,8.8,0.4,534216,252.1,277.60306692424,0.908131177343223,28.6477272727273
"IL","Kankakee",500,39419,5.9,0.6,110024,395,454.446302624882,0.8691896,66.9491525423729
"IL","Kendall",NA,27546,4.4,0.8,127915,227.6,NA,NA,51.7272727272727
"IL","Knox",254,21683,5.6,0.9,50112,374.4,506.864623243934,0.738658771653543,66.8571428571429
"IL","Lake",1218,183758,7,0.3,700832,240.4,173.793434089768,1.38325133661741,34.3428571428571
"IL","LaSalle",171,40892,4.9,0.5,109430,353.7,156.264278534223,2.26347315789474,72.1836734693877
"IL","Lawrence",25,6260,7.8,1.7,15765,348,158.579130986362,2.194488,44.6153846153846
"IL","Lee",80,11681,4.5,0.7,34223,346.9,233.760921018029,1.4839948375,77.0888888888889
"IL","Livingston",42,13455,5.1,0.8,35761,380.9,117.446380134784,3.24318211904762,74.6862745098039
"IL","Logan",25,9916,5,1,28925,326.6,86.4304235090752,3.778762,65.32
"IL","Macon",544,44843,4.9,0.6,104712,328.1,519.520207808083,0.63154425,66.9591836734694
"IL","Macoupin",50,18775,4.4,0.6,45313,381.9,110.343610001545,3.46100694,86.7954545454545
"IL","Madison",953,94728,5.2,0.4,264461,392.7,360.355591183577,1.08975692235047,75.5192307692308
"IL","Marion",149,18729,6.5,0.7,37620,443.8,396.065922381712,1.12052053691275,68.2769230769231
"IL","Marshall",NA,4541,3.7,0.8,11534,334.4,NA,NA,90.3783783783784
"IL","Mason",25,6748,4.8,1,13565,340.8,184.297825285662,1.8491808,71
"IL","Massac",25,6999,4.5,1.2,14080,439.3,177.556818181818,2.4741376,97.6222222222222
"IL","McDonough",60,10397,5.1,1.1,29955,348.4,200.300450676014,1.739387,68.3137254901961
"IL","McHenry",370,77373,5.4,0.4,308570,291.6,119.907962536864,2.43186518918919,54
"IL","McLean",370,45080,3.8,0.4,172828,319.3,214.08568056102,1.49145892972973,84.0263157894737
"IL","Menard",NA,4435,2.4,0.6,12288,318,NA,NA,132.5
"IL","Mercer",22,5599,2.4,0.6,15601,347.3,141.016601499904,2.46283059090909,144.708333333333
"IL","Monroe",NA,8207,2.9,0.8,34335,325.6,NA,NA,112.275862068966
"IL","Montgomery",50,11128,4.1,0.9,28601,330.4,174.81906227055,1.88995408,80.5853658536585
"IL","Morgan",131,12746,4.2,0.7,33976,459.9,385.566282081469,1.19279102290076,109.5
"IL","Moultrie",NA,4495,14.9,3.5,14717,321.5,NA,NA,21.5771812080537
"IL","Ogle",16,17707,5.5,0.8,50923,318.7,31.4199870392553,10.1432250625,57.9454545454545
"IL","Peoria",1226,69343,5.8,0.5,180621,326.6,678.769356830047,0.481164915171289,56.3103448275862
"IL","Perry",42,8566,3.8,1,21174,339.7,198.356474922074,1.71257328571429,89.3947368421053
"IL","Piatt",16,4778,3.7,0.8,16396,321.9,97.5847767748231,3.29867025,87
"IL","Pike",35,6730,5,1,15611,341.6,224.200883992057,1.5236336,68.32
"IL","Pope",NA,2397,3.5,2.3,4212,359,NA,NA,102.571428571429
"IL","Pulaski",NA,3202,3.4,1.5,5463,437.6,NA,NA,128.705882352941
"IL","Putnam",NA,2258,2.5,0.9,5740,352.7,NA,NA,141.08
"IL","Randolph",171,11952,5.5,1,32106,345.3,532.610726966922,0.648315894736842,62.7818181818182
"IL","Richland",134,7052,4.5,1.2,15763,363.7,850.091987565819,0.427836052238806,80.8222222222222
"IL","Rock Island",472,57412,5.9,0.5,143477,361.1,328.972587940924,1.09765984533898,61.2033898305085
"IL","Saline",102,12871,5.1,0.9,23906,369.7,426.671128586966,0.86647531372549,72.4901960784314
"IL","Sangamon",1159,73665,4.2,0.4,195348,327.3,593.300161762598,0.551660055220017,77.9285714285714
"IL","Schuyler",22,2669,13.9,3.9,6907,350.9,318.517446069205,1.1016665,25.2446043165468
"IL","Scott",NA,2042,4,1,4926,329.6,NA,NA,82.4
"IL","Shelby",30,8396,4.3,1,21741,319,137.98813302056,2.311793,74.1860465116279
"IL","St. Clair",591,99849,6.6,0.5,261059,376.3,226.385606318878,1.66220815059222,57.0151515151515
"IL","Stark",NA,2051,6.6,2,5427,336.6,NA,NA,51
"IL","Stephenson",100,20418,5.5,0.9,44753,285.3,223.448707349228,1.27680309,51.8727272727273
"IL","Tazewell",132,45820,3.7,0.5,132328,338.6,99.7521310682546,3.3944136969697,91.5135135135135
"IL","Union",135,7825,5.7,1.2,16841,380.1,801.615105991331,0.474167711111111,66.6842105263158
"IL","Vermilion",373,34968,6.1,0.7,76806,403.9,485.639142775304,0.831687490616622,66.2131147540984
"IL","Wabash",25,4920,6.2,1.5,11549,352.5,216.468958351372,1.628409,56.8548387096774
"IL","Warren",23,6997,3.4,0.8,17032,377.3,135.039924847346,2.79398852173913,110.970588235294
"IL","Washington",50,4666,3.6,0.9,13995,363.3,357.270453733476,1.0168767,100.916666666667
"IL","Wayne",55,7147,7.6,1.9,16332,382.2,336.762184668136,1.13492552727273,50.2894736842105
"IL","White",NA,6237,5.5,1.4,13665,380.8,NA,NA,69.2363636363636
"IL","Whiteside",123,22250,4.9,0.6,55626,371.5,221.119620321432,1.68008609756098,75.8163265306122
"IL","Will",1023,174150,5.6,0.3,692310,310.4,147.766174112753,2.10061607038123,55.4285714285714
"IL","Williamson",267,27639,5.7,0.8,67056,318.1,398.174659985684,0.798895640449438,55.8070175438597
"IL","Winnebago",988,120183,6.6,0.5,284081,348.3,347.788130850004,1.00147178441296,52.7727272727273
"IL","Woodford",25,11348,3.7,0.9,38463,304,64.9975300938564,4.6771008,82.1621621621622
"IN","Adams",25,9389,18.9,2.1,35636,317.8,70.153777079358,4.53004832,16.8148148148148
"IN","Allen",1838,120006,9.4,0.6,375351,330.4,489.67499753564,0.674733244831338,35.1489361702128
"IN","Bartholomew",225,24527,9.1,1.4,82753,342,271.893466097906,1.2578456,37.5824175824176
"IN","Benton",NA,3364,10.4,2.1,8653,358.2,NA,NA,34.4423076923077
"IN","Blackford",15,4924,7,1.8,11930,354.1,125.733445096396,2.81627533333333,50.5857142857143
"IN","Boone",68,14124,5.4,0.9,66999,375.2,101.494052150032,3.69676835294118,69.4814814814815
"IN","Brown",NA,5484,11.2,2.8,15234,320.3,NA,NA,28.5982142857143
"IN","Carroll",NA,6452,10.3,1.9,20127,328.7,NA,NA,31.9126213592233
"IN","Cass",158,12956,10.5,1.4,37955,332.6,416.282439731261,0.798976772151899,31.6761904761905
"IN","Clark",253,36498,8.5,0.9,117360,385.9,215.576005453306,1.79008790513834,45.4
"IN","Clay",25,9155,5.4,1.1,26170,470.3,95.5292319449752,4.9231004,87.0925925925926
"IN","Clinton",25,10781,10.6,1.5,32250,363.6,77.5193798449612,4.69044,34.3018867924528
"IN","Crawford",NA,4224,7.2,1.8,10558,359,NA,NA,49.8611111111111
"IN","Daviess",42,10067,23.3,2.4,33147,354.5,126.70829939361,2.79776464285714,15.2145922746781
"IN","Dearborn",78,15876,5.9,1,49568,332.9,157.359586830213,2.11553682051282,56.4237288135593
"IN","Decatur",25,8373,6.9,1.3,26794,387.9,93.3044711502575,4.15735704,56.2173913043478
"IN","DeKalb",37,12890,9,1.6,43226,328.2,85.5966316568732,3.83426302702703,36.4666666666667
"IN","Delaware",365,39597,9,0.7,114772,355,318.02181716795,1.11627561643836,39.4444444444444
"IN","Dubois",111,10837,5.8,1.6,42565,361.1,260.777634206508,1.38470463963964,62.2586206896552
"IN","Elkhart",333,64890,15.2,0.8,205560,337.6,161.99649737303,2.08399567567568,22.2105263157895
"IN","Fayette",NA,9417,10.5,1.5,23047,455.1,NA,NA,43.3428571428571
"IN","Floyd",280,23085,5.6,0.6,77781,347.6,359.985086332138,0.965595557142857,62.0714285714286
"IN","Fountain",NA,5994,9.2,1.8,16351,344.4,NA,NA,37.4347826086957
"IN","Franklin",NA,6942,5.6,1.5,22736,316.6,NA,NA,56.5357142857143
"IN","Fulton",25,7118,11.6,2.6,20092,405.1,124.427632888712,3.25570768,34.9224137931035
"IN","Gibson",25,9871,7,1.2,33452,362.6,74.7339471481526,4.85187808,51.8
"IN","Grant",197,28239,9,0.9,65936,427,298.774569279301,1.42917116751269,47.4444444444444
"IN","Greene",25,12471,8.5,1.3,32006,382.1,78.1103543085671,4.89179704,44.9529411764706
"IN","Hamilton",657,54241,5,0.4,330086,264.4,199.039038311228,1.32838262404871,52.88
"IN","Hancock",73,18902,7.1,1.2,76351,306.3,95.6110594491231,3.20360428767123,43.1408450704225
"IN","Harrison",25,13109,7.1,1.4,40350,334.2,61.9578686493185,5.393988,47.0704225352113
"IN","Hendricks",256,35723,6.4,0.8,167009,307.7,153.285152297182,2.00736989453125,48.078125
"IN","Henry",48,18267,7.7,1,48271,354.8,99.4385863147645,3.56803141666667,46.0779220779221
"IN","Howard",253,31233,7.7,0.9,82366,407,307.16557802977,1.32501826086957,52.8571428571429
"IN","Huntington",36,10633,7.8,1.3,36240,360.7,99.3377483443709,3.63104666666667,46.2435897435897
"IN","Jackson",85,14079,9.7,1.2,44111,313.8,192.695699485389,1.62847432941176,32.3505154639175
"IN","Jasper",25,10775,7.2,1.2,33370,404.6,74.9175906502847,5.4006008,56.1944444444444
"IN","Jay",25,8040,10.8,2.4,20764,362.2,120.400693507995,3.00828832,33.537037037037
"IN","Jefferson",232,10773,7.3,1.2,32208,425.4,720.317933432688,0.590572551724138,58.2739726027397
"IN","Jennings",25,9891,10,1.5,27611,396.3,90.5436239180037,4.37689572,39.63
"IN","Johnson",161,40270,7.2,1,156225,341.8,103.056489038246,3.31662763975155,47.4722222222222
"IN","Knox",99,14259,7.9,1,36895,350.1,268.329041875593,1.30474136363636,44.3164556962025
"IN","Kosciusko",88,23119,10.7,1.1,79344,335.4,110.909457551926,3.02408836363636,31.3457943925234
"IN","LaGrange",25,8533,39.2,1.9,39330,347.1,63.5647088736334,5.4605772,8.85459183673469
"IN","Lake",1731,175238,8.6,0.4,484411,366.1,357.341183416562,1.0245110751011,42.5697674418605
